nome,online,ativo
Conferencia Educacional,online,True
Webinar Pedagogico,online,True
Aula Magna,presencial,True
Simposio Academico,presencial,True
Live Educativa,online,True
Encontro Presencial,presencial,True
Mesa Redonda Virtual,online,True
Oficina Pratica,presencial,True
Curso EAD,online,True
Workshop Hibrido,presencial,True
Palestrac Motivacional,presencial,True
Treinamento Online,online,True
Seminario Regional,presencial,True
Capacitacao a Distancia,online,True
Evento Experimental,presencial,False
